provider,dataset_version_id,dataset_name,split,doc_id,page_index,image_name,section,field,score,matches,precision,recall,f1,accuracy,string_similarity,numeric_mae,date_mae_days,gt_value_preview,pred_value_preview
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,meta,entity_name,1.000000,,,,,,,,,אילת- התאחדות ישראלית לספורט תחרותי לא אולימפי (ע״ר),אילת- התאחדות ישראלית לספורט תחרותי לא אולימפי (ע״ר)
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,meta,page_num,1.000000,,,,,,,,,1,1
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,meta,page_type,1.000000,,,,,,,,,contents,contents
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,meta,statement_type,1.000000,,,,,,,,,None,None
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,meta,title,1.000000,,,,,,,,,תוכן,תוכן
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,facts,value,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,,
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,facts,path,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,,,,
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,facts,fact_num,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,,
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,facts,period_type,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,,
asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,1,page_0001.png,facts,period_start,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,,
